T_1,OD_1,DEV_1,T_2,OD_2,DEV_2,T_3,OD_3,DEV_3
4.11,-0.23319387454144855,0.0,4.795369135147884,0.08406607745306582,0.0,5.624229070417831,0.18424514025544472,0.0
4.14,-0.21691298914121337,0.0,4.803225424345181,0.08849320002156344,0.0,5.629823433766947,0.18692009546599606,0.0
4.17,-0.2008929301544512,0.0,4.818938002739775,0.09728223314104073,0.0,5.6341364476218425,0.1889567375415905,0.0
4.2,-0.18512547209299457,0.0,4.827854842145491,0.10221851437757598,0.0,5.637518845804776,0.19053205843230003,0.0
4.23,-0.16723590755558285,0.0,4.83,0.10339885375636047,0.0,5.640265648126248,0.19179206593606288,0.0
4.25,-0.15315116783916313,0.0,,,,5.642527447523007,0.19281269840922732,0.0
,,,,,,5.644789246919765,0.19381327641921164,0.0
,,,,,,5.6464052792233055,0.1945133290831563,0.0
,,,,,,5.648021311526846,0.19519795100415166,0.0
,,,,,,5.649292579098235,0.19572411974552825,0.0
,,,,,,5.650563846669624,0.1962375855165593,0.0
,,,,,,5.651835114241013,0.1967368899533366,0.0
,,,,,,5.653848155883627,0.1974965884698822,0.0
,,,,,,5.655089307251958,0.1979449877467106,0.0
,,,,,,5.655304079172901,0.1980210076148734,0.0
,,,,,,5.655518851093844,0.1980965797423553,0.0
,,,,,,5.655733623014787,0.19817171368562259,0.0
,,,,,,5.656163166856673,0.19832071377019772,0.0
,,,,,,5.656592710698559,0.19846807158575538,0.0
,,,,,,5.657022254540444,0.19861386037505288,0.0
,,,,,,5.657856660727326,0.1988928590391796,0.0
,,,,,,5.658691066914208,0.19916687415745887,0.0
,,,,,,5.659525473101089,0.19943663165614564,0.0
,,,,,,5.660359879287971,0.19970282402578904,0.0
,,,,,,5.661569040409896,0.20008350997133176,0.0
,,,,,,5.66252614661709,0.20038160249726977,0.0
,,,,,,5.663483252824284,0.20067757429136934,0.0
,,,,,,5.664440359031477,0.2009719547637675,0.0
,,,,,,5.665397465238671,0.20126514776101445,0.0
,,,,,,5.666467715608841,0.20159198513975948,0.0
,,,,,,5.667537965979012,0.2019180567413189,0.0
,,,,,,5.668608216349182,0.20224357269691415,0.0
,,,,,,5.669678466719352,0.20256868946029016,0.0
,,,,,,5.6707487170895226,0.2028935269545897,0.0
,,,,,,5.672226867105124,0.2033418764667909,0.0
,,,,,,5.673705017120725,0.203790005764812,0.0
,,,,,,5.675183167136327,0.20423799916465438,0.0
,,,,,,5.676661317151928,0.2046858960120729,0.0
,,,,,,5.678139467167529,0.20513373281191463,0.0
,,,,,,5.680048657659105,0.20571209957753947,0.0
,,,,,,5.681957848150681,0.2062904215761456,0.0
,,,,,,5.683867038642257,0.20686871163974063,0.0
,,,,,,5.6857762291338325,0.20744697552455066,0.0
,,,,,,5.689340761516831,0.20852655325983685,0.0
,,,,,,5.692905293899829,0.20960605299266855,0.0
,,,,,,5.696469826282827,0.21068547563845325,0.0
,,,,,,5.712929864374621,0.21568059887959437,0.0
,,,,,,5.72,0.21782281027565747,0.0
